model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,MS-ESS1,288,0.9306,0.8952,0.9546,0.9308,0.0,0.0196
Gemma 3 27b,MS-ESS2,282,0.8936,0.8522,0.9245,0.9127,0.0,0.0087
Gemma 3 27b,MS-ESS3,273,0.8681,0.8228,0.9032,0.9128,0.0,0.0237
Gemma 3 27b,MS-ETS1,264,0.8939,0.851,0.9256,0.873,0.0,0.0214
Gemma 3 27b,MS-LS1,267,0.9551,0.9231,0.9741,0.9806,0.0,0.0092
Gemma 3 27b,MS-LS2,288,0.9549,0.9243,0.9734,0.9692,0.0,0.0098
Gemma 3 27b,MS-LS3,255,0.9176,0.8774,0.9455,0.9435,0.0,0.0096
Gemma 3 27b,MS-LS4,267,0.9438,0.9094,0.9657,0.9785,0.0,0.0243
Gemma 3 27b,MS-PS1,261,0.8774,0.832,0.9118,0.8802,0.0,0.0355
Gemma 3 27b,MS-PS2,273,0.9048,0.8641,0.9342,0.9409,0.0,0.0187
Gemma 3 27b,MS-PS3,252,0.9683,0.9386,0.9838,0.9812,0.0,0.0148
Gemma 3 27b,MS-PS4,264,0.947,0.913,0.9682,0.9576,0.0,0.0142
Gemma 4 31b,MS-ESS1,288,0.9688,0.9417,0.9835,0.9744,0.0,0.0085
Gemma 4 31b,MS-ESS2,282,0.9716,0.945,0.9856,0.9921,0.0,0.01
Gemma 4 31b,MS-ESS3,273,0.9817,0.9579,0.9922,0.9872,0.0,0.0137
Gemma 4 31b,MS-ETS1,264,0.9924,0.9728,0.9979,0.9947,0.0,0.0054
Gemma 4 31b,MS-LS1,267,0.9551,0.9231,0.9741,0.9861,0.0,0.0092
Gemma 4 31b,MS-LS2,288,0.9722,0.9462,0.9859,0.9923,0.0,0.0049
Gemma 4 31b,MS-LS3,255,0.9922,0.9719,0.9978,0.9944,0.0,0.0111
Gemma 4 31b,MS-LS4,267,0.9813,0.9569,0.992,0.9919,0.0,0.0106
Gemma 4 31b,MS-PS1,261,0.977,0.9508,0.9894,0.9818,0.0,0.0094
Gemma 4 31b,MS-PS2,273,0.9817,0.9579,0.9922,0.9785,0.0,0.0052
Gemma 4 31b,MS-PS3,252,0.9921,0.9715,0.9978,0.9946,0.0,0.0056
Gemma 4 31b,MS-PS4,264,0.9886,0.9671,0.9961,0.9915,0.0,0.0
Granite 3.3 Instruct,MS-ESS1,288,0.7674,0.7152,0.8124,0.8051,0.0,0.0436
Granite 3.3 Instruct,MS-ESS2,282,0.8085,0.7586,0.8502,0.8598,0.0,0.015
Granite 3.3 Instruct,MS-ESS3,273,0.9121,0.8725,0.9402,0.941,0.0,0.0237
Granite 3.3 Instruct,MS-ETS1,264,0.9432,0.9084,0.9653,0.9524,0.0,0.0161
Granite 3.3 Instruct,MS-LS1,267,0.8689,0.8231,0.9042,0.9083,0.0,0.0371
Granite 3.3 Instruct,MS-LS2,288,0.8958,0.8552,0.9261,0.9359,0.0,0.0085
Granite 3.3 Instruct,MS-LS3,255,0.8549,0.8064,0.8929,0.8983,0.0,0.0222
Granite 3.3 Instruct,MS-LS4,267,0.8427,0.7942,0.8815,0.9194,0.0,0.0331
Granite 3.3 Instruct,MS-PS1,261,0.7165,0.659,0.7677,0.7891,0.0,0.0143
Granite 3.3 Instruct,MS-PS2,273,0.7473,0.6925,0.7951,0.7742,0.0,0.0155
Granite 3.3 Instruct,MS-PS3,252,0.7857,0.731,0.8319,0.8387,0.0,0.0257
Granite 3.3 Instruct,MS-PS4,264,0.8523,0.8044,0.89,0.8927,0.0,0.0425
Llama 3.1 8b,MS-ESS1,288,0.6806,0.6246,0.7317,0.7436,0.0,0.0299
Llama 3.1 8b,MS-ESS2,282,0.7589,0.7057,0.8051,0.8333,0.0,0.0362
Llama 3.1 8b,MS-ESS3,273,0.8828,0.8392,0.9157,0.9077,0.0,0.0052
Llama 3.1 8b,MS-ETS1,264,0.9697,0.9414,0.9846,0.9762,0.0,0.0193
Llama 3.1 8b,MS-LS1,267,0.8352,0.786,0.8749,0.9,0.0,0.0053
