model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,MS-ESS1,applied,96,0.8854,0.8064,0.9348,0.8958,0.0,0.0589
Gemma 3 27b,MS-ESS1,conceptual,99,0.9495,0.8872,0.9782,0.9646,0.0,0.0143
Gemma 3 27b,MS-ESS1,recall,93,0.957,0.8946,0.9831,,0.0,0.0152
Gemma 3 27b,MS-ESS2,applied,96,0.8333,0.7463,0.8947,0.875,0.0,0.0147
Gemma 3 27b,MS-ESS2,conceptual,93,0.957,0.8946,0.9831,0.9516,0.0,0.0152
Gemma 3 27b,MS-ESS2,recall,93,0.8925,0.8133,0.9405,,0.0,0.0152
Gemma 3 27b,MS-ESS3,applied,96,0.875,0.7941,0.927,0.8854,0.0,0.0255
Gemma 3 27b,MS-ESS3,conceptual,99,0.9293,0.8612,0.9653,0.9394,0.0,0.0143
Gemma 3 27b,MS-ESS3,recall,78,0.7821,0.6784,0.8592,,0.0,0.0654
Gemma 3 27b,MS-ETS1,applied,93,0.8495,0.763,0.9082,0.871,0.0,0.0402
Gemma 3 27b,MS-ETS1,conceptual,96,0.875,0.7941,0.927,0.875,0.0,0.0255
Gemma 3 27b,MS-ETS1,recall,75,0.9733,0.9079,0.9927,,0.0,0.0189
Gemma 3 27b,MS-LS1,applied,87,0.9655,0.9035,0.9882,0.9828,0.0,0.0282
Gemma 3 27b,MS-LS1,conceptual,93,0.9677,0.9094,0.989,0.9785,0.0,0.0
Gemma 3 27b,MS-LS1,recall,87,0.931,0.8576,0.968,,0.0,0.0
Gemma 3 27b,MS-LS2,applied,99,0.9697,0.9147,0.9896,0.9747,0.0,0.0
Gemma 3 27b,MS-LS2,conceptual,96,0.9375,0.8703,0.971,0.9635,0.0,0.0255
Gemma 3 27b,MS-LS2,recall,93,0.957,0.8946,0.9831,,0.0,0.0152
Gemma 3 27b,MS-LS3,applied,90,0.8889,0.8074,0.9385,0.9278,0.0,0.0314
Gemma 3 27b,MS-LS3,conceptual,87,0.9655,0.9035,0.9882,0.9598,0.0,0.0
Gemma 3 27b,MS-LS3,recall,78,0.8974,0.8105,0.9471,,0.0,0.0181
Gemma 3 27b,MS-LS4,applied,87,0.9885,0.9377,0.998,0.9885,0.0,0.0163
Gemma 3 27b,MS-LS4,conceptual,99,0.9697,0.9147,0.9896,0.9697,0.0,0.0247
Gemma 3 27b,MS-LS4,recall,81,0.8642,0.773,0.9224,,0.0,0.063
Gemma 3 27b,MS-PS1,applied,93,0.8925,0.8133,0.9405,0.9194,0.0,0.0402
Gemma 3 27b,MS-PS1,conceptual,99,0.8081,0.7196,0.8735,0.8434,0.0,0.0378
Gemma 3 27b,MS-PS1,recall,69,0.9565,0.8798,0.9851,,0.0,0.0355
Gemma 3 27b,MS-PS2,applied,93,0.8817,0.8005,0.9327,0.914,0.0,0.0152
Gemma 3 27b,MS-PS2,conceptual,93,0.9355,0.8663,0.9701,0.9677,0.0,0.0
Gemma 3 27b,MS-PS2,recall,87,0.8966,0.815,0.9446,,0.0,0.0563
Gemma 3 27b,MS-PS3,applied,96,0.9688,0.9121,0.9893,0.9792,0.0,0.0255
Gemma 3 27b,MS-PS3,conceptual,90,0.9667,0.9065,0.9886,0.9833,0.0,0.0272
Gemma 3 27b,MS-PS3,recall,66,0.9697,0.8961,0.9917,,0.0,0.0214
Gemma 3 27b,MS-PS4,applied,93,0.957,0.8946,0.9831,0.9731,0.0,0.0152
Gemma 3 27b,MS-PS4,conceptual,84,0.8929,0.8088,0.9426,0.9405,0.0,0.0583
Gemma 3 27b,MS-PS4,recall,87,0.9885,0.9377,0.998,,0.0,0.0163
Gemma 4 31b,MS-ESS1,applied,96,0.9583,0.8977,0.9837,0.974,0.0,0.0295
Gemma 4 31b,MS-ESS1,conceptual,99,0.9596,0.9007,0.9842,0.9747,0.0,0.0286
Gemma 4 31b,MS-ESS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
Gemma 4 31b,MS-ESS2,applied,96,0.9896,0.9433,0.9982,0.9896,0.0,0.0147
Gemma 4 31b,MS-ESS2,conceptual,93,0.9892,0.9416,0.9981,0.9946,0.0,0.0152
Gemma 4 31b,MS-ESS2,recall,93,0.9355,0.8663,0.9701,,0.0,0.0
Gemma 4 31b,MS-ESS3,applied,96,0.9792,0.9272,0.9943,0.9844,0.0,0.0147
Gemma 4 31b,MS-ESS3,conceptual,99,0.9798,0.9293,0.9944,0.9899,0.0,0.0143
Gemma 4 31b,MS-ESS3,recall,78,0.9872,0.9309,0.9977,,0.0,0.0181
Gemma 4 31b,MS-ETS1,applied,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ETS1,conceptual,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0147
Gemma 4 31b,MS-ETS1,recall,75,1.0,0.9513,1.0,,0.0,0.0
Gemma 4 31b,MS-LS1,applied,87,0.9655,0.9035,0.9882,0.977,0.0,0.0488
Gemma 4 31b,MS-LS1,conceptual,93,0.9892,0.9416,0.9981,0.9946,0.0,0.0152
Gemma 4 31b,MS-LS1,recall,87,0.908,0.8289,0.9527,,0.0,0.0325
Gemma 4 31b,MS-LS2,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS2,conceptual,96,0.9688,0.9121,0.9893,0.9844,0.0,0.0
Gemma 4 31b,MS-LS2,recall,93,0.9462,0.8803,0.9768,,0.0,0.0152
Gemma 4 31b,MS-LS3,applied,90,0.9778,0.9226,0.9939,0.9889,0.0,0.0314
Gemma 4 31b,MS-LS3,conceptual,87,1.0,0.9577,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-LS3,recall,78,1.0,0.9531,1.0,,0.0,0.0
Gemma 4 31b,MS-LS4,applied,87,0.9885,0.9377,0.998,0.9943,0.0,0.0163
Gemma 4 31b,MS-LS4,conceptual,99,0.9899,0.945,0.9982,0.9899,0.0,0.0143
Gemma 4 31b,MS-LS4,recall,81,0.963,0.8967,0.9873,,0.0,0.0
Gemma 4 31b,MS-PS1,applied,93,0.957,0.8946,0.9831,0.9785,0.0,0.0152
Gemma 4 31b,MS-PS1,conceptual,99,0.9899,0.945,0.9982,0.9848,0.0,0.0143
Gemma 4 31b,MS-PS1,recall,69,0.9855,0.9224,0.9974,,0.0,0.0205
Gemma 4 31b,MS-PS2,applied,93,0.9785,0.9249,0.9941,0.9892,0.0,0.0152
Gemma 4 31b,MS-PS2,conceptual,93,0.9677,0.9094,0.989,0.9677,0.0,0.0
Gemma 4 31b,MS-PS2,recall,87,1.0,0.9577,1.0,,0.0,0.0
Gemma 4 31b,MS-PS3,applied,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,MS-PS3,conceptual,90,1.0,0.9591,1.0,0.9944,0.0,0.0
Gemma 4 31b,MS-PS3,recall,66,0.9848,0.919,0.9973,,0.0,0.0214
Gemma 4 31b,MS-PS4,applied,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-PS4,conceptual,84,0.9643,0.9002,0.9878,0.9821,0.0,0.0
Gemma 4 31b,MS-PS4,recall,87,1.0,0.9577,1.0,,0.0,0.0
Granite 3.3 Instruct,MS-ESS1,applied,96,0.6042,0.5042,0.6962,0.724,0.0,0.0531
Granite 3.3 Instruct,MS-ESS1,conceptual,99,0.8182,0.7308,0.8818,0.8838,0.0,0.0655
Granite 3.3 Instruct,MS-ESS1,recall,93,0.8817,0.8005,0.9327,,0.0,0.0152
Granite 3.3 Instruct,MS-ESS2,applied,96,0.7708,0.6773,0.8435,0.8385,0.0,0.0295
Granite 3.3 Instruct,MS-ESS2,conceptual,93,0.8065,0.7147,0.8739,0.8817,0.0,0.0
Granite 3.3 Instruct,MS-ESS2,recall,93,0.8495,0.763,0.9082,,0.0,0.0152
Granite 3.3 Instruct,MS-ESS3,applied,96,0.8854,0.8064,0.9348,0.9167,0.0,0.0147
Granite 3.3 Instruct,MS-ESS3,conceptual,99,0.9495,0.8872,0.9782,0.9646,0.0,0.0515
Granite 3.3 Instruct,MS-ESS3,recall,78,0.8974,0.8105,0.9471,,0.0,0.0181
Granite 3.3 Instruct,MS-ETS1,applied,93,0.9032,0.8262,0.9482,0.9355,0.0,0.0
Granite 3.3 Instruct,MS-ETS1,conceptual,96,0.9479,0.8838,0.9776,0.9688,0.0,0.039
Granite 3.3 Instruct,MS-ETS1,recall,75,0.9867,0.9283,0.9976,,0.0,0.0189
Granite 3.3 Instruct,MS-LS1,applied,87,0.8391,0.7478,0.9017,0.8908,0.0,0.043
Granite 3.3 Instruct,MS-LS1,conceptual,93,0.8817,0.8005,0.9327,0.9247,0.0,0.0548
Granite 3.3 Instruct,MS-LS1,recall,87,0.8851,0.8012,0.9364,,0.0,0.0163
Granite 3.3 Instruct,MS-LS2,applied,99,0.9394,0.874,0.9719,0.9545,0.0,0.0
Granite 3.3 Instruct,MS-LS2,conceptual,96,0.875,0.7941,0.927,0.9167,0.0,0.0255
Granite 3.3 Instruct,MS-LS2,recall,93,0.871,0.7879,0.9246,,0.0,0.0527
