model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,MS-ESS1-1,78,0.9744,0.9112,0.9929,0.9706,0.0,0.0363
Gemma 3 27b,MS-ESS1-2,66,0.9545,0.8747,0.9844,0.9556,0.0,0.0371
Gemma 3 27b,MS-ESS1-3,87,0.8736,0.7876,0.9279,0.9048,0.0,0.0163
Gemma 3 27b,MS-ESS1-4,57,0.9298,0.833,0.9724,0.8889,0.0,0.0496
Gemma 3 27b,MS-ESS2-1,48,0.8958,0.7783,0.9547,0.9545,0.0,0.0295
Gemma 3 27b,MS-ESS2-2,60,0.85,0.7389,0.919,0.9,0.0,0.0408
Gemma 3 27b,MS-ESS2-3,39,0.9487,0.8311,0.9858,0.9667,0.0,0.0363
Gemma 3 27b,MS-ESS2-4,54,0.9815,0.9023,0.9967,1.0,0.0,0.0262
Gemma 3 27b,MS-ESS2-5,45,0.9111,0.7927,0.9649,0.9028,0.0,0.0314
Gemma 3 27b,MS-ESS2-6,36,0.75,0.5893,0.8625,0.7222,0.0,0.068
Gemma 3 27b,MS-ESS3-1,75,0.8667,0.7717,0.9259,0.9286,0.0,0.0499
Gemma 3 27b,MS-ESS3-2,69,0.8406,0.7367,0.9086,0.9118,0.0,0.0542
Gemma 3 27b,MS-ESS3-3,45,0.8667,0.7382,0.9374,0.8611,0.0,0.0544
Gemma 3 27b,MS-ESS3-4,45,0.8889,0.765,0.9516,0.9394,0.0,0.0314
Gemma 3 27b,MS-ESS3-5,39,0.8974,0.7642,0.9594,0.9242,0.0,0.0363
Gemma 3 27b,MS-ETS1-1,84,0.9643,0.9002,0.9878,0.96,0.0,0.0292
Gemma 3 27b,MS-ETS1-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-ETS1-3,57,0.8246,0.7063,0.9018,0.8194,0.0,0.0992
Gemma 3 27b,MS-ETS1-4,69,0.7826,0.6718,0.8636,0.7157,0.0,0.0355
Gemma 3 27b,MS-LS1-1,39,0.9487,0.8311,0.9858,0.9697,0.0,0.0363
Gemma 3 27b,MS-LS1-2,27,0.9259,0.7663,0.9794,1.0,0.0,0.0524
Gemma 3 27b,MS-LS1-3,54,1.0,0.9336,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-LS1-4,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-LS1-5,30,1.0,0.8865,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-LS1-6,24,0.9583,0.7976,0.9926,0.9722,0.0,0.0589
Gemma 3 27b,MS-LS1-7,30,0.8667,0.7032,0.9469,0.9583,0.0,0.0471
Gemma 3 27b,MS-LS1-8,27,0.8889,0.7194,0.9615,0.9444,0.0,0.0907
Gemma 3 27b,MS-LS2-1,72,0.9306,0.8475,0.97,0.9833,0.0,0.0196
Gemma 3 27b,MS-LS2-2,51,0.9412,0.8408,0.9798,0.9405,0.0,0.0
Gemma 3 27b,MS-LS2-3,99,0.9495,0.8872,0.9782,0.9359,0.0,0.0143
Gemma 3 27b,MS-LS2-4,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-LS2-5,24,1.0,0.862,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-LS3-1,144,0.9375,0.8855,0.9668,0.9778,0.0,0.0
Gemma 3 27b,MS-LS3-2,111,0.8919,0.8205,0.9371,0.908,0.0,0.0221
Gemma 3 27b,MS-LS4-1,81,0.9753,0.9144,0.9932,0.9733,0.0,0.0349
Gemma 3 27b,MS-LS4-2,75,0.96,0.8889,0.9863,0.975,0.0,0.0
Gemma 3 27b,MS-LS4-3,36,0.75,0.5893,0.8625,1.0,0.0,0.068
Gemma 3 27b,MS-LS4-4,27,0.963,0.8172,0.9934,1.0,0.0,0.0524
Gemma 3 27b,MS-LS4-5,15,1.0,0.7961,1.0,0.9444,0.0,0.0
Gemma 3 27b,MS-LS4-6,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-PS1-1,81,0.8765,0.7874,0.9315,0.9167,0.0,0.0175
Gemma 3 27b,MS-PS1-2,21,0.8571,0.6536,0.9502,1.0,0.0,0.1166
Gemma 3 27b,MS-PS1-3,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 3 27b,MS-PS1-4,51,0.902,0.7902,0.9574,0.8929,0.0,0.0555
Gemma 3 27b,MS-PS1-5,39,0.7949,0.6447,0.8922,0.7879,0.0,0.0959
Gemma 3 27b,MS-PS1-6,30,0.8,0.6269,0.9049,0.7708,0.0,0.0
Gemma 3 27b,MS-PS2-1,60,0.9,0.7985,0.9534,0.9118,0.0,0.0
Gemma 3 27b,MS-PS2-2,54,0.9815,0.9023,0.9967,0.9881,0.0,0.0262
Gemma 3 27b,MS-PS2-3,72,0.9167,0.8299,0.9612,0.9872,0.0,0.034
Gemma 3 27b,MS-PS2-4,42,0.7857,0.6406,0.8829,0.8125,0.0,0.0583
Gemma 3 27b,MS-PS2-5,45,0.9111,0.7927,0.9649,0.9667,0.0,0.0314
Gemma 3 27b,MS-PS3-1,57,0.9649,0.8808,0.9903,0.9762,0.0,0.0496
Gemma 3 27b,MS-PS3-2,54,0.9815,0.9023,0.9967,0.9889,0.0,0.0262
Gemma 3 27b,MS-PS3-3,66,0.9848,0.919,0.9973,1.0,0.0,0.0214
Gemma 3 27b,MS-PS3-4,33,0.9697,0.8468,0.9946,0.9833,0.0,0.0429
Gemma 3 27b,MS-PS3-5,42,0.9286,0.8099,0.9754,0.95,0.0,0.0
Gemma 3 27b,MS-PS4-1,78,0.9231,0.8422,0.9643,0.9417,0.0,0.0314
Gemma 3 27b,MS-PS4-2,99,0.9697,0.9147,0.9896,0.9783,0.0,0.0
Gemma 3 27b,MS-PS4-3,87,0.9425,0.8724,0.9752,0.9479,0.0,0.0163
Gemma 4 31b,MS-ESS1-1,78,0.9872,0.9309,0.9977,0.9902,0.0,0.0181
Gemma 4 31b,MS-ESS1-2,66,0.9545,0.8747,0.9844,0.9556,0.0,0.0371
Gemma 4 31b,MS-ESS1-3,87,0.954,0.8877,0.982,0.9762,0.0,0.0163
Gemma 4 31b,MS-ESS1-4,57,0.9825,0.9071,0.9969,0.9722,0.0,0.0248
Gemma 4 31b,MS-ESS2-1,48,0.9583,0.8602,0.9885,0.9848,0.0,0.0589
Gemma 4 31b,MS-ESS2-2,60,0.95,0.863,0.9829,1.0,0.0,0.0408
Gemma 4 31b,MS-ESS2-3,39,0.9744,0.8682,0.9955,0.9833,0.0,0.0363
Gemma 4 31b,MS-ESS2-4,54,0.963,0.8746,0.9898,1.0,0.0,0.0262
Gemma 4 31b,MS-ESS2-5,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,MS-ESS2-6,36,1.0,0.9036,1.0,0.9815,0.0,0.0
Gemma 4 31b,MS-ESS3-1,75,0.9733,0.9079,0.9927,0.9881,0.0,0.0189
