model,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,applied,1119,0.9124,0.8944,0.9276,0.9316,0.0,0.0091
Gemma 3 27b,conceptual,1128,0.9291,0.9126,0.9426,0.9441,0.0,0.0103
Gemma 3 27b,recall,987,0.922,0.9036,0.9371,,0.0,0.0094
Gemma 4 31b,applied,1119,0.9821,0.9726,0.9884,0.9893,0.0,0.0055
Gemma 4 31b,conceptual,1128,0.9814,0.9717,0.9878,0.9871,0.0,0.0038
Gemma 4 31b,recall,987,0.9737,0.9617,0.982,,0.0,0.0038
Granite 3.3 Instruct,applied,1119,0.7855,0.7605,0.8086,0.8508,0.0,0.0209
Granite 3.3 Instruct,conceptual,1128,0.8378,0.8151,0.8581,0.9012,0.0,0.023
Granite 3.3 Instruct,recall,987,0.8815,0.8598,0.9002,,0.0,0.0086
Llama 3.1 8b,applied,1119,0.7784,0.7531,0.8017,0.8517,0.0,0.0033
Llama 3.1 8b,conceptual,1128,0.7677,0.7422,0.7914,0.8524,0.0,0.0185
Llama 3.1 8b,recall,987,0.8551,0.8318,0.8757,,0.0,0.0029
Llama 3.3 70b,applied,1119,0.9401,0.9247,0.9526,0.9598,0.0,0.0046
Llama 3.3 70b,conceptual,1128,0.9078,0.8895,0.9233,0.9424,0.0,0.0076
Llama 3.3 70b,recall,987,0.9443,0.9282,0.9569,,0.0,0.0052
Mistral Small 3.1,applied,1119,0.9106,0.8925,0.926,0.9441,0.0,0.0051
Mistral Small 3.1,conceptual,1128,0.8848,0.8648,0.9021,0.9313,0.0,0.0154
Mistral Small 3.1,recall,987,0.9017,0.8816,0.9188,,0.0,0.0038
Nemotron 3 Nano 30ba3,applied,1119,0.9598,0.9466,0.9698,0.9718,0.0,0.0038
Nemotron 3 Nano 30ba3,conceptual,1128,0.9645,0.9521,0.9739,0.9734,0.0,0.0033
Nemotron 3 Nano 30ba3,recall,987,0.9645,0.9511,0.9744,,0.0,0.0038
OSS 120b,applied,1119,0.9741,0.963,0.9819,0.983,0.0,0.0033
OSS 120b,conceptual,1128,0.9876,0.9793,0.9926,0.9929,0.0,0.0013
OSS 120b,recall,987,0.9797,0.9689,0.9868,,0.0,0.0038
OSS 20b,applied,1119,0.9437,0.9286,0.9557,0.9611,0.0,0.0076
OSS 20b,conceptual,1128,0.9273,0.9107,0.941,0.9521,0.0,0.007
OSS 20b,recall,987,0.9463,0.9304,0.9587,,0.0,0.0062
