model_a,model_b,acc_a,acc_b,a_better_b,discordant_b,discordant_c,p_value,p_holm,significant_0.05
Llama 3.1 8b,OSS 120b,0.8358,0.9935,0,3,173,3.5963726626825383e-37,1.294694158565714e-35,1
Llama 3.1 8b,Nemotron 3 Nano 30ba3,0.8358,0.9889,0,5,170,2.704981901816214e-35,9.467436656356749e-34,1
Gemma 4 31b,Llama 3.1 8b,0.987,0.8358,1,171,8,9.527932698835449e-34,3.2394971176040524e-32,1
Llama 3.1 8b,OSS 20b,0.8358,0.9731,0,14,162,1.559259302444319e-28,5.145555698066252e-27,1
Granite 3.3 Instruct,OSS 120b,0.8776,0.9935,0,3,128,2.3772749505116678e-27,7.607279841637337e-26,1
Granite 3.3 Instruct,Nemotron 3 Nano 30ba3,0.8776,0.9889,0,5,125,1.6805425211690249e-25,5.209681815623977e-24,1
Gemma 4 31b,Granite 3.3 Instruct,0.987,0.8776,1,127,9,1.0951746866067515e-23,3.2855240598202545e-22,1
Llama 3.1 8b,Llama 3.3 70b,0.8358,0.9508,0,26,150,1.835912447170143e-20,5.324146096793415e-19,1
Llama 3.1 8b,Mistral Small 3.1,0.8358,0.9518,0,28,153,3.05963486234418e-20,8.566977614563704e-19,1
Granite 3.3 Instruct,OSS 20b,0.8776,0.9731,0,17,120,2.9217850291661e-18,7.888819578748469e-17,1
Gemma 3 27b,OSS 120b,0.9314,0.9935,0,0,67,7.433292054365067e-16,1.9326559341349172e-14,1
Gemma 3 27b,Nemotron 3 Nano 30ba3,0.9314,0.9889,0,4,66,3.079037744278066e-13,7.697594360695165e-12,1
Gemma 3 27b,Llama 3.1 8b,0.9314,0.8358,1,154,51,1.0484740238286953e-12,2.5163376571888685e-11,1
Granite 3.3 Instruct,Mistral Small 3.1,0.8776,0.9518,0,30,110,2.4435146502827974e-11,5.620083695650434e-10,1
Gemma 3 27b,Gemma 4 31b,0.9314,0.987,0,10,70,4.21259896446265e-11,9.267717721817831e-10,1
Granite 3.3 Instruct,Llama 3.3 70b,0.8776,0.9508,0,34,113,1.2483691484051908e-10,2.6215752116509006e-09,1
Mistral Small 3.1,OSS 120b,0.9518,0.9935,0,2,47,3.2634966536218514e-10,6.526993307243702e-09,1
Llama 3.3 70b,OSS 120b,0.9508,0.9935,0,4,50,9.141298408246627e-10,1.7368466975668592e-08,1
Llama 3.3 70b,Nemotron 3 Nano 30ba3,0.9508,0.9889,0,5,46,2.1297081945356206e-08,3.833474750164117e-07,1
Mistral Small 3.1,Nemotron 3 Nano 30ba3,0.9518,0.9889,0,6,46,6.361622641129396e-08,1.0814758489919973e-06,1
Gemma 4 31b,Llama 3.3 70b,0.987,0.9508,1,49,10,7.52968779957405e-07,1.204750047931848e-05,1
Gemma 4 31b,Mistral Small 3.1,0.987,0.9518,1,47,9,7.640501529011892e-07,1.204750047931848e-05,1
Gemma 3 27b,OSS 20b,0.9314,0.9731,0,22,67,3.1013544518774056e-06,4.341896232628368e-05,1
Gemma 3 27b,Granite 3.3 Instruct,0.9314,0.8776,1,111,53,8.549036565627522e-06,0.00011113747535315779,1
OSS 120b,OSS 20b,0.9935,0.9731,1,24,2,3.8144777827131e-05,0.000457737333925572,1
Granite 3.3 Instruct,Llama 3.1 8b,0.8776,0.8358,1,120,75,0.001627651736639003,0.017904169103029034,1
Nemotron 3 Nano 30ba3,OSS 20b,0.9889,0.9731,1,24,7,0.004057136032371287,0.04057136032371288,1
Mistral Small 3.1,OSS 20b,0.9518,0.9731,0,20,43,0.005575764332991259,0.05018187899692133,0
Llama 3.3 70b,OSS 20b,0.9508,0.9731,0,24,48,0.006716645502620928,0.05373316402096742,0
Gemma 4 31b,OSS 20b,0.987,0.9731,1,24,9,0.014806109127348454,0.10364276389143919,0
Gemma 3 27b,Llama 3.3 70b,0.9314,0.9508,0,37,58,0.04017387028851206,0.225533287566447,0
Gemma 3 27b,Mistral Small 3.1,0.9314,0.9518,0,40,62,0.0375888812610745,0.225533287566447,0
Gemma 4 31b,OSS 120b,0.987,0.9935,0,3,10,0.09228515625,0.369140625,0
Nemotron 3 Nano 30ba3,OSS 120b,0.9889,0.9935,0,2,7,0.1796875,0.5390625,0
Llama 3.3 70b,Mistral Small 3.1,0.9508,0.9518,0,40,41,1.0,1.0,0
Gemma 4 31b,Nemotron 3 Nano 30ba3,0.987,0.9889,0,9,11,0.8238029479980469,1.0,0
