model,area,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,MS-ESS1,288,107.5,8.9,161.1,36.8,0.0,0.0,268.6,38.6,77363,0.0
Gemma 3 27b,MS-ESS2,282,106.4,9.9,161.2,37.7,0.0,0.0,267.6,37.9,75468,0.0
Gemma 3 27b,MS-ESS3,273,108.6,11.4,177.1,43.7,0.0,0.0,285.6,43.2,77972,0.0
Gemma 3 27b,MS-ETS1,264,115.9,21.3,170.1,35.2,0.0,0.0,286.0,32.9,75512,0.0
Gemma 3 27b,MS-LS1,267,107.7,10.9,170.4,36.0,0.0,0.0,278.1,37.3,74243,0.0
Gemma 3 27b,MS-LS2,288,107.3,11.3,166.8,39.6,0.0,0.0,274.1,40.4,78933,0.0
Gemma 3 27b,MS-LS3,255,108.0,10.1,167.7,45.7,0.0,0.0,275.7,46.0,70291,0.0
Gemma 3 27b,MS-LS4,267,111.8,15.5,178.4,38.2,0.0,0.0,290.2,37.5,77496,0.0
Gemma 3 27b,MS-PS1,261,107.2,9.9,160.7,37.8,0.0,0.0,268.0,37.0,69938,0.0
Gemma 3 27b,MS-PS2,273,108.8,8.5,149.9,30.0,0.0,0.0,258.7,29.6,70624,0.0
Gemma 3 27b,MS-PS3,252,108.7,10.1,151.5,31.3,0.0,0.0,260.2,32.7,65572,0.0
Gemma 3 27b,MS-PS4,264,108.6,11.4,154.2,36.4,0.0,0.0,262.8,37.6,69367,0.0
Gemma 4 31b,MS-ESS1,288,116.5,8.9,175.1,65.0,0.0,0.0,291.6,64.7,83972,0.0
Gemma 4 31b,MS-ESS2,282,115.4,9.9,188.1,59.1,0.0,0.0,303.5,56.5,85598,0.0
Gemma 4 31b,MS-ESS3,273,117.6,11.4,225.3,50.5,0.0,0.0,342.9,48.2,93604,0.0
Gemma 4 31b,MS-ETS1,264,124.9,21.3,224.6,72.5,0.0,0.0,349.5,59.0,92263,0.0
Gemma 4 31b,MS-LS1,267,116.7,10.9,209.9,61.7,0.0,0.0,326.6,60.4,87190,0.0
Gemma 4 31b,MS-LS2,288,116.3,11.3,218.0,55.2,0.0,0.0,334.4,53.1,96294,0.0
Gemma 4 31b,MS-LS3,255,117.0,10.1,204.3,79.3,0.0,0.0,321.2,76.5,81909,0.0
Gemma 4 31b,MS-LS4,267,120.8,15.5,201.4,58.7,0.0,0.0,322.3,54.1,86048,0.0
Gemma 4 31b,MS-PS1,261,116.2,9.9,179.0,64.3,0.0,0.0,295.3,60.8,77061,0.0
Gemma 4 31b,MS-PS2,273,117.8,8.5,169.4,50.8,0.0,0.0,287.2,48.0,78406,0.0
Gemma 4 31b,MS-PS3,252,117.7,10.1,182.3,50.4,0.0,0.0,300.1,48.2,75617,0.0
Gemma 4 31b,MS-PS4,264,117.6,11.4,194.8,60.8,0.0,0.0,312.4,59.9,82470,0.0
Granite 3.3 Instruct,MS-ESS1,288,120.9,10.1,173.4,94.3,0.0,0.0,294.3,94.9,84766,0.0
Granite 3.3 Instruct,MS-ESS2,282,120.6,11.6,194.4,92.7,0.0,0.0,315.0,94.3,88828,0.0
Granite 3.3 Instruct,MS-ESS3,273,123.0,12.8,222.7,90.6,0.0,0.0,345.7,91.1,94383,0.0
Granite 3.3 Instruct,MS-ETS1,264,129.3,24.0,161.2,78.4,0.0,0.0,290.5,78.8,76688,0.0
Granite 3.3 Instruct,MS-LS1,267,121.7,12.7,203.0,81.8,0.0,0.0,324.7,83.7,86701,0.0
Granite 3.3 Instruct,MS-LS2,288,122.2,14.3,217.2,92.6,0.0,0.0,339.4,93.6,97746,0.0
Granite 3.3 Instruct,MS-LS3,255,121.6,12.2,185.6,83.6,0.0,0.0,307.2,83.1,78333,0.0
Granite 3.3 Instruct,MS-LS4,267,127.7,18.0,199.1,88.3,0.0,0.0,326.9,87.6,87274,0.0
Granite 3.3 Instruct,MS-PS1,261,120.3,11.6,165.7,67.2,0.0,0.0,286.0,67.6,74647,0.0
Granite 3.3 Instruct,MS-PS2,273,122.3,9.9,166.6,60.9,0.0,0.0,289.0,61.2,78884,0.0
Granite 3.3 Instruct,MS-PS3,252,122.6,11.5,168.2,64.3,0.0,0.0,290.9,66.3,73295,0.0
Granite 3.3 Instruct,MS-PS4,264,121.7,13.0,168.0,69.3,0.0,0.0,289.7,71.4,76481,0.0
Llama 3.1 8b,MS-ESS1,288,130.5,8.8,194.8,71.9,0.0,0.0,325.3,73.3,93691,0.0
Llama 3.1 8b,MS-ESS2,282,129.8,9.9,200.6,66.0,0.0,0.0,330.4,66.3,93170,0.0
Llama 3.1 8b,MS-ESS3,273,131.6,11.2,235.1,59.8,0.0,0.0,366.7,60.4,100099,0.0
