model,question_type,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,applied,1119,122.2,10.9,154.6,36.4,0.0,0.0,276.9,37.8,309801,0.0
Gemma 3 27b,conceptual,1128,104.1,3.3,180.4,37.7,0.0,0.0,284.5,38.0,320883,0.0
Gemma 3 27b,recall,987,99.1,4.8,156.3,35.8,0.0,0.0,255.4,35.4,252095,0.0
Gemma 4 31b,applied,1119,131.2,10.9,167.1,51.2,0.0,0.0,298.3,51.0,333833,0.0
Gemma 4 31b,conceptual,1128,113.1,3.3,236.1,53.8,0.0,0.0,349.1,53.6,393813,0.0
Gemma 4 31b,recall,987,108.1,4.8,188.5,65.1,0.0,0.0,296.6,63.3,292786,0.0
Granite 3.3 Instruct,applied,1119,138.5,12.4,174.8,81.1,0.0,0.0,313.2,81.7,350482,0.0
Granite 3.3 Instruct,conceptual,1128,117.1,3.7,228.0,75.1,0.0,0.0,345.1,75.2,389253,0.0
Granite 3.3 Instruct,recall,987,111.6,5.2,150.1,75.7,0.0,0.0,261.7,75.5,258291,0.0
Llama 3.1 8b,applied,1119,145.3,10.6,197.7,60.3,0.0,0.0,342.9,61.6,383761,0.0
Llama 3.1 8b,conceptual,1128,127.0,3.2,234.7,57.2,0.0,0.0,361.8,57.1,408080,0.0
Llama 3.1 8b,recall,987,122.3,4.7,173.0,58.7,0.0,0.0,295.3,57.9,291432,0.0
Llama 3.3 70b,applied,1119,145.3,10.6,142.6,43.4,0.0,0.0,287.8,44.1,322083,0.0
Llama 3.3 70b,conceptual,1128,127.0,3.2,183.8,40.5,0.0,0.0,310.9,40.7,350650,0.0
Llama 3.3 70b,recall,987,122.3,4.7,122.2,45.6,0.0,0.0,244.5,45.2,241350,0.0
Mistral Small 3.1,applied,1119,118.9,11.2,202.0,67.0,0.0,0.0,320.9,67.7,359101,0.0
Mistral Small 3.1,conceptual,1128,100.1,3.3,240.9,65.1,0.0,0.0,341.0,65.0,384684,0.0
Mistral Small 3.1,recall,987,95.3,4.8,181.4,64.3,0.0,0.0,276.8,63.6,273167,0.0
Nemotron 3 Nano 30ba3,applied,1119,129.9,11.2,317.5,166.5,0.0,0.0,447.4,166.6,500652,0.0
Nemotron 3 Nano 30ba3,conceptual,1128,111.1,3.3,361.4,154.0,0.0,0.0,472.5,154.3,532967,0.0
Nemotron 3 Nano 30ba3,recall,987,106.3,4.8,267.4,222.2,0.0,0.0,373.8,222.0,368917,0.0
OSS 120b,applied,1119,180.1,10.6,427.3,185.4,0.0,0.0,607.4,184.2,679658,0.0
OSS 120b,conceptual,1128,161.9,3.2,551.0,140.0,0.0,0.0,712.9,140.1,804140,0.0
OSS 120b,recall,987,157.2,4.7,341.9,149.2,0.0,0.0,499.2,148.6,492669,0.0
OSS 20b,applied,1119,180.1,10.6,407.9,192.4,0.0,0.0,588.0,191.5,657984,0.0
OSS 20b,conceptual,1128,161.9,3.2,470.8,155.5,0.0,0.0,632.7,155.9,713702,0.0
OSS 20b,recall,987,157.2,4.7,275.0,125.4,0.0,0.0,432.2,125.5,426583,0.0
